Materials,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017
Total MSW Combusted - Weight,0,450000,2760000,29760000,33730000,31650000,29310000,32110000,32600000,33200000,33190000,33550000,33900000,34030000
Total MSW Landfilled – Weight ,82510000,112590000,134360000,145270000,140260000,142290000,136310000,132600000,132890000,134490000,136040000,137610000,139180000,139590000
Total MSW Recycled and Composted – Weight,5610000,8020000,14520000,33240000,69460000,79790000,85430000,87260000,86800000,87380000,89170000,90950000,93740000,94170000
Total MSW Generated - Weight,88120000,121060000,151640000,208270000,243450000,253730000,251050000,251970000,252290000,255070000,258400000,262110000,266820000,267790000
