gvkey,datadate,fyear,tic,conm,curcd,at,bkvlps,ebitda,epspi,lt,revt,txpd,wcapch,prcc_c,state
14477,20001231,2000,WM,WASTE MANAGEMENT INC,USD,18565,7.7106,3216,-0.16,13749,12492,135,,27.75,TX
14477,20011231,2001,WM,WASTE MANAGEMENT INC,USD,19490,8.5857,3034,0.8,14085,11322,47,,31.91,TX
14477,20021231,2002,WM,WASTE MANAGEMENT INC,USD,19631,8.927,2896,1.34,14304,11142,201,,22.92,TX
14477,20031231,2003,WM,WASTE MANAGEMENT INC,USD,20656,9.656,2841,1.07,14843,11574,97,,29.6,TX
14477,20041231,2004,WM,WASTE MANAGEMENT INC,USD,20905,10.4715,3021,1.63,14652,12516,136,,29.94,TX
14477,20051231,2005,WM,WASTE MANAGEMENT INC,USD,21135,11.0837,3167,2.11,14733,13074,233,,30.35,TX
14477,20061231,2006,WM,WASTE MANAGEMENT INC,USD,20600,11.6586,3408,2.13,14103,13363,475,,36.77,TX
14477,20071231,2007,WM,WASTE MANAGEMENT INC,USD,20175,11.5812,3601,2.25,14073,13312,416,,32.67,TX
14477,20081231,2008,WM,WASTE MANAGEMENT INC,USD,20227,12.0268,3577,2.21,14042,13388,603,,33.14,TX
14477,20091231,2009,WM,WASTE MANAGEMENT INC,USD,21154,12.9289,3281,2.02,14563,11791,466,,33.81,TX
14477,20101231,2010,WM,WASTE MANAGEMENT INC,USD,21476,13.1777,3378,1.98,14885,12515,547,,36.87,TX
14477,20111231,2011,WM,WASTE MANAGEMENT INC,USD,22569,13.1804,3401,2.05,16179,13378,306,,32.71,TX
14477,20121231,2012,WM,WASTE MANAGEMENT INC,USD,23097,13.6875,3396,1.76,16422,13649,366,,33.74,TX
14477,20131231,2013,WM,WASTE MANAGEMENT INC,USD,22603,12.2911,3494,0.21,16601,13983,511,,44.87,TX
14477,20141231,2014,WM,WASTE MANAGEMENT INC,USD,21412,12.7929,3637,2.8,15523,13996,758,,51.32,TX
14477,20151231,2015,WM,WASTE MANAGEMENT INC,USD,20419,11.9528,3534,1.66,15052,12961,419,,53.37,TX
14477,20161231,2016,WM,WASTE MANAGEMENT INC,USD,20859,12.0574,3807,2.66,15539,13609,442,,70.91,TX
14477,20171231,2017,WM,WASTE MANAGEMENT INC,USD,21829,13.8905,4103,4.44,15787,14485,562,,86.3,TX
14477,20181231,2018,WM,WASTE MANAGEMENT INC,USD,22650,14.8001,4312,4.49,16374,14914,349,,88.99,TX
23485,19901231,1990,CVA,COVANTA HOLDING CORP,USD,173.007,2.9956,,,120.539,,3,,3,NJ
23485,19911231,1991,CVA,COVANTA HOLDING CORP,USD,176.879,3.0873,0.365,0.01,130.22,73.763,3.875,,3.875,NJ
23485,19921231,1992,CVA,COVANTA HOLDING CORP,USD,196.759,3.6244,,0.53,141.995,88.44,3.625,,3.625,NJ
23485,19931231,1993,CVA,COVANTA HOLDING CORP,USD,234.15,3.894,,0.2,175.312,102.397,8.25,,8.25,NJ
23485,19941231,1994,CVA,COVANTA HOLDING CORP,USD,240.529,4.0572,5.265,0.25,178.211,110.34,7.625,,7.625,NJ
23485,19951231,1995,CVA,COVANTA HOLDING CORP,USD,227.924,4.5456,4.891,0.14,158.103,80.081,6.875,,6.875,NJ
23485,19961231,1996,CVA,COVANTA HOLDING CORP,USD,196.419,3.8316,-2.181,-0.53,137.566,48.704,5,,5,NJ
23485,19971231,1997,CVA,COVANTA HOLDING CORP,USD,187.773,4.1037,5.541,0.3,123.853,65.746,7.25,,7.25,NJ
23485,19981231,1998,CVA,COVANTA HOLDING CORP,USD,180.895,4.0622,3.189,0.15,117.622,64.744,3.5625,,3.5625,NJ
23485,19991231,1999,CVA,COVANTA HOLDING CORP,USD,194.752,4.1257,2.012,0.08,118.526,71.158,5.75,,5.75,NJ
23485,20001231,2000,CVA,COVANTA HOLDING CORP,USD,210.829,4.2149,1.548,0.06,129.499,86.237,4.5625,,4.5625,NJ
23485,20011231,2001,CVA,COVANTA HOLDING CORP,USD,208.871,3.8174,-12.66,-0.74,134.408,94.102,4.44,,4.44,NJ
23485,20021231,2002,CVA,COVANTA HOLDING CORP,USD,1034.898,2.5103,44.614,-1.26,957.538,531.501,1.4,,1.4,NJ
23485,20031231,2003,CVA,COVANTA HOLDING CORP,USD,162.648,0.7767,-13.965,-2.25,134.857,41.123,2.91,,2.91,NJ
